periodo,zona_origen,zona_destino,car_opeak,car_peak,tm_opeak,tm_peak
0,a10,a80,38.9722,38.9722,56.6469,47.0735
0,a10,a81,40.4027,40.4027,57.2371,60.604
0,a10,a82,41.8527,41.8527,59.2913,62.779
0,a10,a83,15.9342,15.9342,22.5735,23.9013
0,a10,a84,45.8785,45.8785,64.9945,68.8177
0,a10,a85,20.466,20.466,28.9935,30.699
0,a10,a86,26.1762,26.1762,37.083,39.2643
0,a10,a87,26.9446,26.9446,74.8552,62.2046
0,a10,a88,26.8781,26.8781,68.7465,57.1283
0,a10,a89,28.9148,28.9148,53.2544,44.2543
0,a10,a9,8.50185,8.50185,12.0443,12.7528
0,a10,a90,29.562,29.562,74.8509,62.201
0,a10,a91,30.8272,30.8272,43.6719,46.2408
0,a10,a92,12.7331,12.7331,42.042,34.9369
0,a10,a93,15.9268,15.9268,59.8123,49.704
0,a10,a94,20.2959,20.2959,47.614,39.5672
0,a10,a95,18.8621,18.8621,57.7598,47.9983
0,a10,a96,20.5541,20.5541,74.834,62.187
0,a10,a97,22.922,22.922,43.7091,36.3223
0,a10,a98,15.8159,15.8159,22.4059,23.7239
0,a10,a99,21.3997,21.3997,30.3162,32.0995
0,a100,a1,29.0048,29.0048,48.3984,43.5072
0,a100,a10,18.5319,18.5319,30.923,27.7979
0,a100,a100,2.26367,2.26367,3.77723,3.3955
0,a100,a101,7.95097,7.95097,13.2673,11.9265
0,a100,a102,10.307,10.307,17.1986,15.4605
0,a100,a103,12.8568,12.8568,21.4533,19.2852
0,a100,a104,7.51094,7.51094,12.533,11.2664
0,a100,a105,6.04997,6.04997,10.0952,9.07495
0,a100,a106,10.7452,10.7452,17.9297,16.1177
0,a100,a107,7.29001,7.29001,12.1644,10.935
0,a100,a108,14.2811,14.2811,23.83,21.4217
0,a100,a109,6.05005,6.05005,10.0953,9.07508
0,a100,a11,15.8622,15.8622,26.4681,23.7932
0,a100,a110,9.65213,9.65213,16.1059,14.4782
0,a100,a111,6.41794,6.41794,10.7092,9.62691
0,a100,a112,9.64602,9.64602,16.0957,14.469
0,a100,a113,68.7764,68.7764,114.763,103.165
0,a100,a114,117.558,117.558,196.161,176.337
0,a100,a115,46.0757,46.0757,76.8835,69.1136
0,a100,a116,39.5639,39.5639,66.0177,59.3459
0,a100,a117,82.8864,82.8864,138.307,124.33
0,a100,a118,35.4298,35.4298,59.1194,53.1447
0,a100,a119,39.8454,39.8454,66.4874,59.7682
0,a100,a12,22.1532,22.1532,36.9656,33.2299
0,a100,a120,22.529,22.529,37.5926,33.7935
0,a100,a121,55.9234,55.9234,93.3157,83.8851
0,a100,a122,29.4104,29.4104,49.0751,44.1156
0,a100,a123,26.2999,26.2999,43.885,39.4499
0,a100,a124,30.5082,30.5082,50.907,45.7623
0,a100,a125,36.5401,36.5401,60.972,54.8101
0,a100,a126,58.4292,58.4292,97.4969,87.6438
0,a100,a127,87.791,87.791,146.491,131.687
0,a100,a13,19.1798,19.1798,32.0041,28.7697
0,a100,a14,19.2609,19.2609,32.1394,28.8914
0,a100,a15,12.7649,12.7649,21.2999,19.1474
0,a100,a16,10.135,10.135,16.9117,15.2026
0,a100,a17,8.24906,8.24906,13.7647,12.3736
0,a100,a18,18.8819,18.8819,31.507,28.3228
0,a100,a19,15.073,15.073,25.1513,22.6095
0,a100,a2,29.7342,29.7342,49.6155,44.6013
0,a100,a20,10.7131,10.7131,17.8763,16.0697
0,a100,a21,6.93406,6.93406,11.5704,10.4011
0,a100,a22,20.449,20.449,34.1219,30.6735
0,a100,a23,15.606,15.606,26.0407,23.409
0,a100,a24,11.0291,11.0291,18.4036,16.5437
0,a100,a25,9.38901,9.38901,15.6668,14.0835
